0x7FF	0x0FF	0xFF	0xFF	0xFF
0x7FE	0x0FE	0xFF	0xFF	0xFE
0x7F7	0x0F7	0xFF	0xAC	0xAE
0x7F6	0x1F6	0xFF	0xA8	0x92
0x6F6	0x0F6	0xFF	0xA8	0x96
0x7F5	0x0F5	0xFF	0xAA	0x62
0x7F4	0x0F4	0xFF	0xA8	0x1E
0x7F0	0x0F0	0xFF	0xF9	0xC7
0x7E7	0x1E4	0xEF	0xFF	0xFC
0x6E7	0x0E4	0xEF	0xFF	0xFF
0x7E3	0x2E0	0xEF	0xFF	0xFC
0x5E3	0x0E0	0xEF	0xFF	0xFF
0x7DF	0x0DC	0xEF	0xFF	0xFC
0x7CF	0x0C0	0xFE	0xF7	0xFF
0x7BF	0x0B0	0xFD	0xF9	0xAF
0x7AF	0x0A0	0xFB	0xF7	0xFF
0x79F	0x090	0xFB	0xAE	0xFE
0x78F	0x080	0xF7	0xFD	0xAF
0x77F	0x07C	0xEF	0xBD	0xAF
0x77B	0x178	0xEF	0xB9	0x93
0x67B	0x078	0xEF	0xB9	0x97
0x777	0x074	0xEF	0xBB	0x63
0x773	0x070	0xEF	0xB9	0x1F
0x76F	0x06C	0xEF	0xD7	0xFF
0x70B	0x008	0xFB	0xBF	0xFF
0x707	0x004	0xFB	0xBF	0xFF
0x703	0x000	0xFB	0xBF	0xFF